[LIVE] === BTC 15-min Fair-Value MM — LIVE TRADING ===
[LIVE] UTC: 2026-05-14 16:33:22.896632+00:00
[LIVE] size=dynamic (min 5, +1 per $20 > $100)  poll=1.0s  maker-only  improve=0.0
[LIVE] No sell orders will be placed — user resolves manually
[LIVE] Killing old instance PID 51199
[py_clob_client_v2] request error status=400 url=https://clob.polymarket.com/auth/api-key body={"error":"Could not create api key"}

[py_clob_client_v2] request error status=400 url=https://clob.polymarket.com/auth/api-key body={"error":"Could not create api key"}

[LIVE] USDC balance: $188.81
[REDEEM] Relayer ready (PROXY tx type, key=019dd8ae...)
[LIVE] Current candle not confirmed (695s to start)
[LIVE] Current candle not confirmed (684s to start)
[LIVE] Current candle not confirmed (674s to start)
[LIVE] Current candle not confirmed (664s to start)
[LIVE] Current candle not confirmed (654s to start)
[LIVE] Current candle not confirmed (644s to start)
[LIVE] Current candle not confirmed (634s to start)
[LIVE] Current candle not confirmed (623s to start)
[LIVE] Current candle not confirmed (613s to start)
[LIVE] Current candle not confirmed (603s to start)
[LIVE] Current candle not confirmed (593s to start)
[LIVE] Current candle not confirmed (583s to start)
[LIVE] Current candle not confirmed (573s to start)
[LIVE] Current candle not confirmed (562s to start)
[LIVE] Current candle not confirmed (552s to start)
[LIVE] Current candle not confirmed (542s to start)
[LIVE] Current candle not confirmed (532s to start)
[LIVE] Current candle not confirmed (522s to start)
[LIVE] Current candle not confirmed (512s to start)
[LIVE] Current candle not confirmed (501s to start)
[LIVE] Current candle not confirmed (491s to start)
[LIVE] Current candle not confirmed (481s to start)
[LIVE] Current candle not confirmed (471s to start)
[LIVE] Current candle not confirmed (461s to start)
[LIVE] Current candle not confirmed (451s to start)
[LIVE] Current candle not confirmed (440s to start)
[LIVE] Current candle not confirmed (430s to start)
[LIVE] Current candle not confirmed (420s to start)
[LIVE] Current candle not confirmed (410s to start)
[LIVE] Current candle not confirmed (400s to start)
[LIVE] Current candle not confirmed (390s to start)
