BTC Near-Resolution Monitor
==================================================
Monitoring mode: checking every 300s until 16:00 UTC

[13:07 UTC] BTC: $73,753 | Balance: $51.23
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=99.7% vs YES=0.997 | edge_Y=+0.1% edge_N=-0.1%
  $72,000: P(above)=90.0% vs YES=0.957 | edge_Y=-5.7% edge_N=+5.7% → NO ✓
    → BUY NO @ 0.043, $7.68, edge=5.7%, 2.9h left
    ✓ Bought! Shares: 89.72
  $74,000: P(above)=42.5% vs YES=0.380 | edge_Y=+4.5% edge_N=-4.5%
  $76,000: P(above)=5.3% vs YES=0.025 | edge_Y=+2.7% edge_N=-2.7%
  $78,000: P(above)=0.1% vs YES=0.002 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[13:12 UTC] BTC: $73,790 | Balance: $43.55
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=99.8% vs YES=0.997 | edge_Y=+0.1% edge_N=-0.1%
  $72,000: P(above)=90.8% vs YES=0.958 | edge_Y=-5.0% edge_N=+5.0%
  $74,000: P(above)=43.5% vs YES=0.410 | edge_Y=+2.5% edge_N=-2.5%
  $76,000: P(above)=5.3% vs YES=0.026 | edge_Y=+2.7% edge_N=-2.7%
  $78,000: P(above)=0.1% vs YES=0.002 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[13:17 UTC] BTC: $73,809 | Balance: $43.55
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=99.8% vs YES=0.997 | edge_Y=+0.2% edge_N=-0.2%
  $72,000: P(above)=91.3% vs YES=0.958 | edge_Y=-4.4% edge_N=+4.4%
  $74,000: P(above)=44.0% vs YES=0.405 | edge_Y=+3.5% edge_N=-3.5%
  $76,000: P(above)=5.2% vs YES=0.026 | edge_Y=+2.6% edge_N=-2.6%
  $78,000: P(above)=0.1% vs YES=0.002 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[13:22 UTC] BTC: $73,835 | Balance: $43.55
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=99.9% vs YES=0.994 | edge_Y=+0.5% edge_N=-0.5%
  $72,000: P(above)=92.0% vs YES=0.958 | edge_Y=-3.8% edge_N=+3.8%
  $74,000: P(above)=44.7% vs YES=0.405 | edge_Y=+4.2% edge_N=-4.2%
  $76,000: P(above)=5.2% vs YES=0.026 | edge_Y=+2.5% edge_N=-2.5%
  $78,000: P(above)=0.1% vs YES=0.002 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[13:27 UTC] BTC: $73,721 | Balance: $43.55
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=99.8% vs YES=0.997 | edge_Y=+0.2% edge_N=-0.2%
  $72,000: P(above)=90.9% vs YES=0.958 | edge_Y=-4.8% edge_N=+4.8%
  $74,000: P(above)=41.1% vs YES=0.385 | edge_Y=+2.6% edge_N=-2.6%
  $76,000: P(above)=4.1% vs YES=0.028 | edge_Y=+1.3% edge_N=-1.3%
  $78,000: P(above)=0.1% vs YES=0.002 | edge_Y=-0.1% edge_N=+0.1%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[13:32 UTC] BTC: $73,726 | Balance: $43.55
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=99.9% vs YES=0.997 | edge_Y=+0.2% edge_N=-0.2%
  $72,000: P(above)=91.4% vs YES=0.956 | edge_Y=-4.2% edge_N=+4.2%
  $74,000: P(above)=41.2% vs YES=0.385 | edge_Y=+2.7% edge_N=-2.7%
  $76,000: P(above)=3.8% vs YES=0.025 | edge_Y=+1.3% edge_N=-1.3%
  $78,000: P(above)=0.1% vs YES=0.002 | edge_Y=-0.1% edge_N=+0.1%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[13:37 UTC] BTC: $73,921 | Balance: $43.55
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=99.9% vs YES=0.998 | edge_Y=+0.2% edge_N=-0.2%
